datetime,conditions,description,icon
21/09/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
22/09/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
23/09/2024,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
24/09/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
25/09/2024,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain
26/09/2024,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain
27/09/2024,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain
28/09/2024,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
29/09/2024,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
30/09/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
01/10/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
02/10/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
03/10/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
04/10/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
05/10/2024,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day
06/10/2024,Clear,Clear conditions throughout the day.,clear-day
07/10/2024,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain
08/10/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
09/10/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
10/10/2024,Clear,Clear conditions throughout the day.,clear-day
11/10/2024,Clear,Clear conditions throughout the day.,clear-day
12/10/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
13/10/2024,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day
14/10/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
15/10/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
16/10/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
17/10/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
18/10/2024,Clear,Clear conditions throughout the day.,clear-day
19/10/2024,Clear,Clear conditions throughout the day.,clear-day
20/10/2024,Clear,Clear conditions throughout the day.,clear-day
21/10/2024,Clear,Clear conditions throughout the day.,clear-day
22/10/2024,Clear,Clear conditions throughout the day.,clear-day
23/10/2024,Clear,Clear conditions throughout the day.,clear-day
24/10/2024,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day
25/10/2024,Clear,Clear conditions throughout the day.,clear-day
26/10/2024,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day
27/10/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
28/10/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
29/10/2024,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain
30/10/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
31/10/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
