datetime,conditions,description,icon
17/02/2023,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
18/02/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
19/02/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
20/02/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
21/02/2023,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
22/02/2023,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
23/02/2023,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain
24/02/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
25/02/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
26/02/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
27/02/2023,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain or snow.,rain
28/02/2023,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow
01/03/2023,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain
02/03/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
03/03/2023,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain
04/03/2023,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain
05/03/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
06/03/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
07/03/2023,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow clearing later.,snow
08/03/2023,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day
09/03/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
10/03/2023,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain
11/03/2023,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain
